500
   72   40    11.525
   72   60     11.36
   72   80    11.208
   72  100    11.107
   72  120    11.068
   72  140    11.078
   72  160    11.104
   84 -180    13.757
   84 -160    13.738
   84 -140    13.691
   84 -120    13.643
   84 -100    13.623
   84  -80    13.649
   84  -60    13.718
   84  -40    13.806
   84  -20    13.878
   84    0    13.906
   84   20    13.878
   84   40    13.806
   84   60    13.718
   84   80    13.649
   84  100    13.623
   84  120    13.643
   84  140    13.691
   84  160    13.738
550
    0 -180    5.7817
    0 -160    5.7817
    0 -140    5.7817
    0 -120    5.7817
    0 -100    5.7817
    0  -80    5.7817
    0  -60    5.7817
    0  -40    5.7817
    0  -20    5.7817
    0    0    5.7817
    0   20    5.7817
    0   40    5.7817
    0   60    5.7817
    0   80    5.7817
    0  100    5.7817
    0  120    5.7817
    0  140    5.7817
    0  160    5.7817
   12 -180    5.7478
   12 -160    5.7542
   12 -140    5.7729
   12 -120    5.8022
   12 -100    5.8397
   12  -80    5.8812
   12  -60    5.9219
   12  -40    5.9562
   12  -20    5.9792
   12    0    5.9873
   12   20    5.9792
   12   40    5.9562
   12   60    5.9219
   12   80    5.8812
   12  100    5.8397
   12  120    5.8022
   12  140    5.7729
   12  160    5.7542
   24 -180    5.9126
   24 -160     5.923
   24 -140     5.954
   24 -120     6.005
   24 -100    6.0733
   24  -80    6.1528
   24  -60     6.234
   24  -40    6.3048
   24  -20    6.3533
   24    0    6.3706
   24   20    6.3533
   24   40    6.3048
   24   60     6.234
   24   80    6.1528
   24  100    6.0733
   24  120     6.005
   24  140     5.954
   24  160     5.923
   36 -180    6.3424
   36 -160    6.3537
   36 -140    6.3891
   36 -120    6.4509
   36 -100    6.5397
   36  -80    6.6497
   36  -60    6.7677
   36  -40    6.8743
   36  -20     6.949
   36    0    6.9759
   36   20     6.949
   36   40    6.8743
   36   60    6.7677
   36   80    6.6497
   36  100    6.5397
   36  120    6.4509
   36  140    6.3891
   36  160    6.3537
   48 -180    7.1674
   48 -160    7.1758
   48 -140     7.205
   48 -120    7.2634
   48 -100    7.3581
   48  -80    7.4865
   48  -60    7.6333
   48  -40    7.7716
   48  -20     7.871
   48    0    7.9072
   48   20     7.871
   48   40    7.7716
   48   60    7.6333
   48   80    7.4865
   48  100    7.3581
   48  120    7.2634
   48  140     7.205
   48  160    7.1758
   60 -180    8.6354
   60 -160    8.6361
   60 -140    8.6455
   60 -120    8.6817
   60 -100    8.7618
   60  -80    8.8902
   60  -60    9.0516
   60  -40    9.2123
   60  -20    9.3313
   60    0    9.3752
   60   20    9.3313
   60   40    9.2123
   60   60    9.0516
   60   80    8.8902
   60  100    8.7618
   60  120    8.6817
   60  140    8.6455
   60  160    8.6361
   72 -180    11.166
   72 -160    11.154
   72 -140    11.129
   72 -120    11.119
   72 -100    11.157
   72  -80    11.255
   72  -60    11.403
   72  -40    11.564
   72  -20    11.688
   72    0    11.734
   72   20    11.688
   72   40    11.564
   72   60    11.403
   72   80    11.255
   72  100    11.157
   72  120    11.119
   72  140    11.129
   72  160    11.154
   84 -180    14.004
   84 -160    13.985
   84 -140    13.939
   84 -120    13.892
   84 -100    13.872
   84  -80    13.898
   84  -60    13.966
   84  -40    14.052
   84  -20    14.124
   84    0    14.152
   84   20    14.124
   84   40    14.052
   84   60    13.966
   84   80    13.898
   84  100    13.872
   84  120    13.892
   84  140    13.939
   84  160    13.985
560
    0 -180    5.4174
    0 -160    5.4174
    0 -140    5.4174
    0 -120    5.4174
    0 -100    5.4174
    0  -80    5.4174
    0  -60    5.4174
    0  -40    5.4174
    0  -20    5.4174
    0    0    5.4174
    0   20    5.4174
    0   40    5.4174
    0   60    5.4174
    0   80    5.4174
    0  100    5.4174
    0  120    5.4174
    0  140    5.4174
    0  160    5.4174
   12 -180    5.3896
   12 -160    5.3954
   12 -140    5.4124
   12 -120    5.4393
   12 -100    5.4736
   12  -80    5.5117
   12  -60    5.5489
   12  -40    5.5802
   12  -20    5.6013
   12    0    5.6087
   12   20    5.6013
   12   40    5.5802
